# forex_sr_levels.csv - generated by scripts/tpl_to_sr_levels.py
# Static snapshot of hand-drawn MT5 template zones. Regenerate after re-drawing.
# symbol,price,tier,source_tf   tier: HIGH=yellow MED=white LOW=blue
# plantilla nq.tpl -> USTECm
USTECm,28828.22605500,LOW,M5
USTECm,28937.07575400,LOW,M5
USTECm,29087.86453600,LOW,M5
USTECm,29372.13570600,LOW,M5
USTECm,29485.89445100,LOW,M5
USTECm,29584.72726200,LOW,M5
USTECm,29710.21990300,LOW,M5
USTECm,29784.00542800,LOW,M5
# zonas BTC.tpl -> BTCUSDm
BTCUSDm,61172.98121800,LOW,M5
BTCUSDm,62447.56701400,HIGH,H4
BTCUSDm,63831.44264000,LOW,M5
BTCUSDm,65623.38081600,HIGH,H4
BTCUSDm,69262.81982200,HIGH,H4
BTCUSDm,71029.68142900,LOW,M5
BTCUSDm,71665.68931000,LOW,M5
BTCUSDm,71770.06816300,HIGH,H4
BTCUSDm,73766.17072200,HIGH,H4
BTCUSDm,74961.28520200,MED,H1
BTCUSDm,75407.35051500,MED,M15
BTCUSDm,75799.34504600,LOW,M5
BTCUSDm,75891.70572000,LOW,M5
BTCUSDm,76016.10623100,HIGH,H4
BTCUSDm,76498.51828400,LOW,M5
BTCUSDm,76576.45658800,LOW,M5
BTCUSDm,77984.53000000,HIGH,H4
BTCUSDm,79264.58836300,HIGH,H4
# zonas DXY.tpl -> DXYm
DXYm,97.58402600,LOW,M5
DXYm,97.82195800,MED,M15
DXYm,98.05736600,HIGH,H4
DXYm,98.15000000,MED,M15
DXYm,98.93200000,LOW,M5
DXYm,99.15914200,LOW,M5
DXYm,99.28004800,LOW,M5
DXYm,99.60593700,LOW,M5
DXYm,99.68825600,LOW,M5
DXYm,99.81408000,LOW,M5
DXYm,100.24794100,HIGH,H4
DXYm,100.75247200,LOW,M5
DXYm,100.83193600,LOW,M5
DXYm,101.38164000,LOW,M5
DXYm,100272.29817200,LOW,M5
DXYm,101412.76131900,LOW,M5
DXYm,103176.94149900,LOW,M5
DXYm,103927.77838600,MED,M15
DXYm,104852.72045700,MED,H1
DXYm,105091.62378700,MED,H1
# zonas.tpl -> XAUUSDm
XAUUSDm,3452.98048000,HIGH,DAILY
XAUUSDm,3953.37315400,LOW,M5
XAUUSDm,3972.90059700,LOW,M5
XAUUSDm,3984.03307600,LOW,M5
XAUUSDm,3991.12888000,LOW,M5
XAUUSDm,3995.80835000,LOW,M5
XAUUSDm,4006.05634000,LOW,M5
XAUUSDm,4016.51313400,LOW,M5
XAUUSDm,4028.09472500,LOW,M5
XAUUSDm,4033.62964200,LOW,M5
XAUUSDm,4044.08629000,LOW,M5
XAUUSDm,4047.12074900,LOW,M5
XAUUSDm,4056.22586500,LOW,M5
XAUUSDm,4075.78626900,LOW,M5
XAUUSDm,4082.19960000,LOW,M5
XAUUSDm,4090.76763300,HIGH,H4
XAUUSDm,4100.24527200,LOW,M5
XAUUSDm,4113.15632800,HIGH,H4
XAUUSDm,4143.52306400,LOW,M5
XAUUSDm,4172.34050700,HIGH,H4
XAUUSDm,4185.52413900,LOW,M1
XAUUSDm,4194.54700000,LOW,M5
XAUUSDm,4200.20231800,LOW,M1
XAUUSDm,4226.05001600,LOW,M5
XAUUSDm,4244.28032800,HIGH,H4
XAUUSDm,4304.89383300,LOW,M5
XAUUSDm,4316.98228100,LOW,M5
XAUUSDm,4324.23243900,LOW,M5
XAUUSDm,4345.83900000,LOW,M5
XAUUSDm,4351.72649100,LOW,M5
XAUUSDm,4404.70552200,MED,H1
XAUUSDm,4440.42018100,LOW,M5
XAUUSDm,4467.09790600,LOW,M5
XAUUSDm,4482.89482800,LOW,M5
XAUUSDm,4496.53102100,HIGH,H4
XAUUSDm,4513.38196300,LOW,M5
XAUUSDm,4527.24165800,LOW,M5
XAUUSDm,4534.09916900,LOW,M5
XAUUSDm,4539.49601600,LOW,M5
XAUUSDm,4553.15405400,LOW,M5
XAUUSDm,4561.36498900,LOW,M5
XAUUSDm,4563.45989900,LOW,M5
XAUUSDm,4567.64798700,LOW,M5
XAUUSDm,4573.23858900,LOW,M5
XAUUSDm,4580.42285400,LOW,M5
XAUUSDm,4583.10945900,LOW,M5
XAUUSDm,4586.88097100,LOW,M5
XAUUSDm,4592.11931000,LOW,M5
XAUUSDm,4600.00991000,LOW,M5
XAUUSDm,4603.21852900,LOW,M5
XAUUSDm,4609.51624600,LOW,M5
XAUUSDm,4610.97658700,LOW,M5
XAUUSDm,4615.87574000,LOW,M5
XAUUSDm,4625.13053700,LOW,M5
XAUUSDm,4637.93960100,LOW,M5
XAUUSDm,4645.00798700,LOW,M5
XAUUSDm,4665.79351400,LOW,M5
XAUUSDm,4680.20948900,LOW,M5
XAUUSDm,4689.49765800,LOW,M5
XAUUSDm,4700.03934500,LOW,M5
XAUUSDm,4714.87147100,LOW,M5
XAUUSDm,4728.04681400,LOW,M5
XAUUSDm,4744.45029300,HIGH,H4
XAUUSDm,4804.42989100,LOW,M5
XAUUSDm,4810.52500000,LOW,M5
XAUUSDm,4815.24129300,LOW,M5
XAUUSDm,4827.49800000,LOW,M5
XAUUSDm,4843.61009800,HIGH,H4
XAUUSDm,4854.24398600,LOW,M5
XAUUSDm,4870.84843900,HIGH,H4
