% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 84.39    6.621523         574     11528      9447 ioctl
 11.17    0.876597         107      8180           read
  1.68    0.131767           8     16411           clock_gettime
  1.47    0.115517           7     14900           rt_sigprocmask
  0.69    0.054025           8      6137           write
  0.17    0.013121          10      1287           writev
  0.13    0.010474           6      1576       988 recvmsg
  0.07    0.005553          12       451           getsockopt
  0.06    0.004613          26       171           munmap
  0.04    0.002864           3       776       776 openat
  0.03    0.002671           5       520           getrusage
  0.03    0.002535          14       171           mmap
  0.02    0.001475           4       362           poll
  0.01    0.001166           4       260           sched_yield
