time,timeframe,symbol,open,high,low,close,tick_volume,spread
2021-09-07 01:00:00+0000,H1,EURUSD,1.18695,1.18714,1.18695,1.18708,349,10
2021-09-07 02:00:00+0000,H1,EURUSD,1.18711,1.18735,1.18706,1.18728,339,10
2021-09-07 03:00:00+0000,H1,EURUSD,1.18728,1.18812,1.18723,1.18788,972,10
2021-09-07 04:00:00+0000,H1,EURUSD,1.18788,1.18846,1.1878,1.18818,867,10
2021-09-07 05:00:00+0000,H1,EURUSD,1.18818,1.1882,1.18781,1.18798,676,10
2021-09-07 06:00:00+0000,H1,EURUSD,1.18798,1.18822,1.1877,1.18781,681,10
2021-09-07 07:00:00+0000,H1,EURUSD,1.18781,1.18818,1.18746,1.18749,1186,10
2021-09-07 08:00:00+0000,H1,EURUSD,1.18749,1.18751,1.18702,1.18709,1350,10
2021-09-07 09:00:00+0000,H1,EURUSD,1.18709,1.18738,1.18623,1.18708,2115,10
2021-09-07 10:00:00+0000,H1,EURUSD,1.18706,1.18818,1.1866,1.18758,2705,10
2021-09-07 11:00:00+0000,H1,EURUSD,1.18758,1.18758,1.18591,1.18755,2949,10
2021-09-07 12:00:00+0000,H1,EURUSD,1.18755,1.18798,1.18618,1.18652,3079,10
2021-09-07 13:00:00+0000,H1,EURUSD,1.18652,1.18747,1.18612,1.18742,2648,10
2021-09-07 14:00:00+0000,H1,EURUSD,1.18742,1.18762,1.18577,1.18609,3118,10
2021-09-07 15:00:00+0000,H1,EURUSD,1.18609,1.18645,1.18489,1.185,2661,10
2021-09-07 16:00:00+0000,H1,EURUSD,1.18499,1.18598,1.18433,1.18558,4082,10
2021-09-07 17:00:00+0000,H1,EURUSD,1.18558,1.18574,1.18369,1.18458,6249,10
2021-09-07 18:00:00+0000,H1,EURUSD,1.18458,1.18496,1.18373,1.18481,2917,10
2021-09-07 19:00:00+0000,H1,EURUSD,1.18482,1.18491,1.1842,1.1845,1792,10
2021-09-07 20:00:00+0000,H1,EURUSD,1.1845,1.18515,1.18424,1.18486,1821,10
2021-09-07 21:00:00+0000,H1,EURUSD,1.18486,1.18528,1.1845,1.18452,1460,10
2021-09-07 22:00:00+0000,H1,EURUSD,1.18452,1.18459,1.18377,1.18393,1335,10
2021-09-07 23:00:00+0000,H1,EURUSD,1.18393,1.1842,1.18388,1.18413,937,10
