market,as_of,cftc_contract_market_code,cftc_market_code,open_interest_all,mm_long_all,mm_short_all,source_year
GOLD - COMMODITY EXCHANGE INC.,2016-01-05,088691,CMX ,413688,79732,95659,2016
GOLD - COMMODITY EXCHANGE INC.,2016-01-12,088691,CMX ,397565,82908,82816,2016
GOLD - COMMODITY EXCHANGE INC.,2016-01-19,088691,CMX ,408835,84054,83615,2016
GOLD - COMMODITY EXCHANGE INC.,2016-01-26,088691,CMX ,385350,95745,78942,2016
GOLD - COMMODITY EXCHANGE INC.,2016-02-02,088691,CMX ,379185,100566,71530,2016
GOLD - COMMODITY EXCHANGE INC.,2016-02-09,088691,CMX ,410833,121059,60423,2016
GOLD - COMMODITY EXCHANGE INC.,2016-02-16,088691,CMX ,428912,126219,45206,2016
GOLD - COMMODITY EXCHANGE INC.,2016-02-23,088691,CMX ,445290,141373,32276,2016
GOLD - COMMODITY EXCHANGE INC.,2016-03-01,088691,CMX ,450555,133823,29453,2016
GOLD - COMMODITY EXCHANGE INC.,2016-03-08,088691,CMX ,499110,160317,32890,2016
GOLD - COMMODITY EXCHANGE INC.,2016-03-15,088691,CMX ,493086,159202,29425,2016
GOLD - COMMODITY EXCHANGE INC.,2016-03-22,088691,CMX ,510579,174457,29558,2016
GOLD - COMMODITY EXCHANGE INC.,2016-03-29,088691,CMX ,480461,184135,29930,2016
GOLD - COMMODITY EXCHANGE INC.,2016-04-05,088691,CMX ,474094,186716,33958,2016
GOLD - COMMODITY EXCHANGE INC.,2016-04-12,088691,CMX ,504523,202500,31866,2016
GOLD - COMMODITY EXCHANGE INC.,2016-04-19,088691,CMX ,503331,208661,34554,2016
GOLD - COMMODITY EXCHANGE INC.,2016-04-26,088691,CMX ,497884,206476,34426,2016
GOLD - COMMODITY EXCHANGE INC.,2016-05-03,088691,CMX ,565774,248842,29947,2016
GOLD - COMMODITY EXCHANGE INC.,2016-05-10,088691,CMX ,579777,246782,35591,2016
GOLD - COMMODITY EXCHANGE INC.,2016-05-17,088691,CMX ,595077,247059,34618,2016
GOLD - COMMODITY EXCHANGE INC.,2016-05-24,088691,CMX ,542958,205180,48719,2016
GOLD - COMMODITY EXCHANGE INC.,2016-05-31,088691,CMX ,494321,192160,43549,2016
GOLD - COMMODITY EXCHANGE INC.,2016-06-07,088691,CMX ,496330,212061,34695,2016
GOLD - COMMODITY EXCHANGE INC.,2016-06-14,088691,CMX ,545357,257500,28260,2016
GOLD - COMMODITY EXCHANGE INC.,2016-06-21,088691,CMX ,571517,274936,24528,2016
GOLD - COMMODITY EXCHANGE INC.,2016-06-28,088691,CMX ,613792,285895,24845,2016
GOLD - COMMODITY EXCHANGE INC.,2016-07-05,088691,CMX ,652971,300070,26994,2016
GOLD - COMMODITY EXCHANGE INC.,2016-07-12,088691,CMX ,633020,296106,36977,2016
GOLD - COMMODITY EXCHANGE INC.,2016-07-19,088691,CMX ,617069,287317,34920,2016
GOLD - COMMODITY EXCHANGE INC.,2016-07-26,088691,CMX ,576325,278777,31356,2016
GOLD - COMMODITY EXCHANGE INC.,2016-08-02,088691,CMX ,582211,288542,33813,2016
GOLD - COMMODITY EXCHANGE INC.,2016-08-09,088691,CMX ,575399,281496,36244,2016
GOLD - COMMODITY EXCHANGE INC.,2016-08-16,088691,CMX ,572496,277152,34425,2016
GOLD - COMMODITY EXCHANGE INC.,2016-08-23,088691,CMX ,572973,284550,30866,2016
GOLD - COMMODITY EXCHANGE INC.,2016-08-30,088691,CMX ,558398,266680,35086,2016
GOLD - COMMODITY EXCHANGE INC.,2016-09-06,088691,CMX ,590656,291692,22157,2016
GOLD - COMMODITY EXCHANGE INC.,2016-09-13,088691,CMX ,575002,271631,28654,2016
GOLD - COMMODITY EXCHANGE INC.,2016-09-20,088691,CMX ,558791,246119,32972,2016
GOLD - COMMODITY EXCHANGE INC.,2016-09-27,088691,CMX ,583161,282151,26974,2016
GOLD - COMMODITY EXCHANGE INC.,2016-10-04,088691,CMX ,544824,244765,44649,2016
GOLD - COMMODITY EXCHANGE INC.,2016-10-11,088691,CMX ,500328,203033,54240,2016
GOLD - COMMODITY EXCHANGE INC.,2016-10-18,088691,CMX ,497061,190008,59054,2016
GOLD - COMMODITY EXCHANGE INC.,2016-10-25,088691,CMX ,507617,199094,55184,2016
GOLD - COMMODITY EXCHANGE INC.,2016-11-01,088691,CMX ,521506,203670,37403,2016
GOLD - COMMODITY EXCHANGE INC.,2016-11-08,088691,CMX ,528203,211670,38033,2016
GOLD - COMMODITY EXCHANGE INC.,2016-11-15,088691,CMX ,479237,178132,43452,2016
GOLD - COMMODITY EXCHANGE INC.,2016-11-22,088691,CMX ,461062,171864,47475,2016
GOLD - COMMODITY EXCHANGE INC.,2016-11-29,088691,CMX ,405661,162086,55145,2016
GOLD - COMMODITY EXCHANGE INC.,2016-12-06,088691,CMX ,393524,150856,68538,2016
GOLD - COMMODITY EXCHANGE INC.,2016-12-13,088691,CMX ,397034,146150,77432,2016
GOLD - COMMODITY EXCHANGE INC.,2016-12-20,088691,CMX ,398661,137588,83783,2016
GOLD - COMMODITY EXCHANGE INC.,2016-12-27,088691,CMX ,401513,130595,87229,2016
GOLD - COMMODITY EXCHANGE INC.,2017-01-03,088691,CMX ,424673,127786,91229,2017
GOLD - COMMODITY EXCHANGE INC.,2017-01-10,088691,CMX ,444001,135563,79884,2017
GOLD - COMMODITY EXCHANGE INC.,2017-01-17,088691,CMX ,467937,141566,82931,2017
GOLD - COMMODITY EXCHANGE INC.,2017-01-24,088691,CMX ,482374,135159,75405,2017
GOLD - COMMODITY EXCHANGE INC.,2017-01-31,088691,CMX ,398433,140663,70826,2017
GOLD - COMMODITY EXCHANGE INC.,2017-02-07,088691,CMX ,415543,142542,72393,2017
GOLD - COMMODITY EXCHANGE INC.,2017-02-14,088691,CMX ,415128,135739,72114,2017
GOLD - COMMODITY EXCHANGE INC.,2017-02-21,088691,CMX ,427168,142639,64597,2017
GOLD - COMMODITY EXCHANGE INC.,2017-02-28,088691,CMX ,446081,166437,52191,2017
GOLD - COMMODITY EXCHANGE INC.,2017-03-07,088691,CMX ,434401,150277,60030,2017
GOLD - COMMODITY EXCHANGE INC.,2017-03-14,088691,CMX ,426170,121179,74805,2017
GOLD - COMMODITY EXCHANGE INC.,2017-03-21,088691,CMX ,446880,130259,74064,2017
GOLD - COMMODITY EXCHANGE INC.,2017-03-28,088691,CMX ,449418,150879,59836,2017
GOLD - COMMODITY EXCHANGE INC.,2017-04-04,088691,CMX ,427808,163428,54302,2017
GOLD - COMMODITY EXCHANGE INC.,2017-04-11,088691,CMX ,456131,179841,46830,2017
GOLD - COMMODITY EXCHANGE INC.,2017-04-18,088691,CMX ,472263,199001,47765,2017
GOLD - COMMODITY EXCHANGE INC.,2017-04-25,088691,CMX ,475985,207394,47014,2017
GOLD - COMMODITY EXCHANGE INC.,2017-05-02,088691,CMX ,461905,195331,51720,2017
GOLD - COMMODITY EXCHANGE INC.,2017-05-09,088691,CMX ,433033,151419,55457,2017
GOLD - COMMODITY EXCHANGE INC.,2017-05-16,088691,CMX ,435021,132094,66226,2017
GOLD - COMMODITY EXCHANGE INC.,2017-05-23,088691,CMX ,462572,161893,50845,2017
GOLD - COMMODITY EXCHANGE INC.,2017-05-30,088691,CMX ,434246,175304,51171,2017
GOLD - COMMODITY EXCHANGE INC.,2017-06-06,088691,CMX ,494041,229476,63427,2017
GOLD - COMMODITY EXCHANGE INC.,2017-06-13,088691,CMX ,471134,214955,67459,2017
GOLD - COMMODITY EXCHANGE INC.,2017-06-20,088691,CMX ,445841,165035,65659,2017
GOLD - COMMODITY EXCHANGE INC.,2017-06-27,088691,CMX ,453144,144515,71860,2017
GOLD - COMMODITY EXCHANGE INC.,2017-07-03,088691,CMX ,457201,129780,96091,2017
GOLD - COMMODITY EXCHANGE INC.,2017-07-11,088691,CMX ,475669,123619,100397,2017
GOLD - COMMODITY EXCHANGE INC.,2017-07-18,088691,CMX ,484204,127028,98115,2017
GOLD - COMMODITY EXCHANGE INC.,2017-07-25,088691,CMX ,463827,136359,62735,2017
GOLD - COMMODITY EXCHANGE INC.,2017-08-01,088691,CMX ,448709,158082,39624,2017
GOLD - COMMODITY EXCHANGE INC.,2017-08-08,088691,CMX ,448727,164828,28843,2017
GOLD - COMMODITY EXCHANGE INC.,2017-08-15,088691,CMX ,477921,195433,18877,2017
GOLD - COMMODITY EXCHANGE INC.,2017-08-22,088691,CMX ,500443,209717,15638,2017
GOLD - COMMODITY EXCHANGE INC.,2017-08-29,088691,CMX ,538875,235065,13939,2017
GOLD - COMMODITY EXCHANGE INC.,2017-09-05,088691,CMX ,566817,251489,14301,2017
GOLD - COMMODITY EXCHANGE INC.,2017-09-12,088691,CMX ,580606,270413,16896,2017
GOLD - COMMODITY EXCHANGE INC.,2017-09-19,088691,CMX ,570096,251735,18353,2017
GOLD - COMMODITY EXCHANGE INC.,2017-09-26,088691,CMX ,549637,219134,23158,2017
GOLD - COMMODITY EXCHANGE INC.,2017-10-03,088691,CMX ,525127,204361,24917,2017
GOLD - COMMODITY EXCHANGE INC.,2017-10-10,088691,CMX ,520005,193154,21824,2017
GOLD - COMMODITY EXCHANGE INC.,2017-10-17,088691,CMX ,528800,196555,27040,2017
GOLD - COMMODITY EXCHANGE INC.,2017-10-24,088691,CMX ,526674,192701,24333,2017
GOLD - COMMODITY EXCHANGE INC.,2017-10-31,088691,CMX ,531918,182652,16687,2017
GOLD - COMMODITY EXCHANGE INC.,2017-11-07,088691,CMX ,536843,187782,17070,2017
GOLD - COMMODITY EXCHANGE INC.,2017-11-14,088691,CMX ,533054,190657,14559,2017
GOLD - COMMODITY EXCHANGE INC.,2017-11-21,088691,CMX ,531612,187292,14137,2017
GOLD - COMMODITY EXCHANGE INC.,2017-11-28,088691,CMX ,503810,208518,9978,2017
GOLD - COMMODITY EXCHANGE INC.,2017-12-05,088691,CMX ,472795,167174,32664,2017
GOLD - COMMODITY EXCHANGE INC.,2017-12-12,088691,CMX ,446618,123139,46913,2017
GOLD - COMMODITY EXCHANGE INC.,2017-12-19,088691,CMX ,453595,116642,35397,2017
GOLD - COMMODITY EXCHANGE INC.,2017-12-26,088691,CMX ,456470,127715,19957,2017
GOLD - COMMODITY EXCHANGE INC.,2018-01-02,088691,CMX ,500731,168423,20249,2018
GOLD - COMMODITY EXCHANGE INC.,2018-01-09,088691,CMX ,555455,216115,20065,2018
GOLD - COMMODITY EXCHANGE INC.,2018-01-16,088691,CMX ,582333,227373,25841,2018
GOLD - COMMODITY EXCHANGE INC.,2018-01-23,088691,CMX ,582421,236003,26467,2018
GOLD - COMMODITY EXCHANGE INC.,2018-01-30,088691,CMX ,559332,230597,23035,2018
GOLD - COMMODITY EXCHANGE INC.,2018-02-06,088691,CMX ,535321,206377,23448,2018
