proxy,source_ticker,granularity,bar_open_utc,close_ts_utc,close,is_weekend_gap_after
dxy,DX-Y.NYB,1d,2024-01-01T22:00:00+00:00,2024-01-02T22:00:00+00:00,102.199997,false
dxy,DX-Y.NYB,1d,2024-01-02T22:00:00+00:00,2024-01-03T22:00:00+00:00,102.459999,false
dxy,DX-Y.NYB,1d,2024-01-03T22:00:00+00:00,2024-01-04T22:00:00+00:00,102.419998,false
dxy,DX-Y.NYB,1d,2024-01-04T22:00:00+00:00,2024-01-05T22:00:00+00:00,102.410004,false
dxy,DX-Y.NYB,1d,2024-01-07T22:00:00+00:00,2024-01-08T22:00:00+00:00,102.209999,true
dxy,DX-Y.NYB,1d,2024-01-08T22:00:00+00:00,2024-01-09T22:00:00+00:00,102.570000,false
dxy,DX-Y.NYB,1d,2024-01-09T22:00:00+00:00,2024-01-10T22:00:00+00:00,102.360001,false
dxy,DX-Y.NYB,1d,2024-01-10T22:00:00+00:00,2024-01-11T22:00:00+00:00,102.290001,false
dxy,DX-Y.NYB,1d,2024-01-11T22:00:00+00:00,2024-01-12T22:00:00+00:00,102.400002,false
dxy,DX-Y.NYB,1d,2024-01-15T22:00:00+00:00,2024-01-16T22:00:00+00:00,103.360001,true
dxy,DX-Y.NYB,1d,2024-01-16T22:00:00+00:00,2024-01-17T22:00:00+00:00,103.449997,false
dxy,DX-Y.NYB,1d,2024-01-17T22:00:00+00:00,2024-01-18T22:00:00+00:00,103.540001,false
dxy,DX-Y.NYB,1d,2024-01-18T22:00:00+00:00,2024-01-19T22:00:00+00:00,103.290001,false
dxy,DX-Y.NYB,1d,2024-01-21T22:00:00+00:00,2024-01-22T22:00:00+00:00,103.330002,true
dxy,DX-Y.NYB,1d,2024-01-22T22:00:00+00:00,2024-01-23T22:00:00+00:00,103.620003,false
dxy,DX-Y.NYB,1d,2024-01-23T22:00:00+00:00,2024-01-24T22:00:00+00:00,103.239998,false
dxy,DX-Y.NYB,1d,2024-01-24T22:00:00+00:00,2024-01-25T22:00:00+00:00,103.570000,false
dxy,DX-Y.NYB,1d,2024-01-25T22:00:00+00:00,2024-01-26T22:00:00+00:00,103.470001,false
dxy,DX-Y.NYB,1d,2024-01-28T22:00:00+00:00,2024-01-29T22:00:00+00:00,103.610001,true
dxy,DX-Y.NYB,1d,2024-01-29T22:00:00+00:00,2024-01-30T22:00:00+00:00,103.400002,false
dxy,DX-Y.NYB,1d,2024-01-30T22:00:00+00:00,2024-01-31T22:00:00+00:00,103.269997,false
dxy,DX-Y.NYB,1d,2024-01-31T22:00:00+00:00,2024-02-01T22:00:00+00:00,103.050003,false
dxy,DX-Y.NYB,1d,2024-02-01T22:00:00+00:00,2024-02-02T22:00:00+00:00,103.919998,false
dxy,DX-Y.NYB,1d,2024-02-04T22:00:00+00:00,2024-02-05T22:00:00+00:00,104.449997,true
dxy,DX-Y.NYB,1d,2024-02-05T22:00:00+00:00,2024-02-06T22:00:00+00:00,104.180000,false
dxy,DX-Y.NYB,1d,2024-02-06T22:00:00+00:00,2024-02-07T22:00:00+00:00,104.040001,false
dxy,DX-Y.NYB,1d,2024-02-07T22:00:00+00:00,2024-02-08T22:00:00+00:00,104.150002,false
dxy,DX-Y.NYB,1d,2024-02-08T22:00:00+00:00,2024-02-09T22:00:00+00:00,104.080002,false
dxy,DX-Y.NYB,1d,2024-02-11T22:00:00+00:00,2024-02-12T22:00:00+00:00,104.169998,true
dxy,DX-Y.NYB,1d,2024-02-12T22:00:00+00:00,2024-02-13T22:00:00+00:00,104.959999,false
dxy,DX-Y.NYB,1d,2024-02-13T22:00:00+00:00,2024-02-14T22:00:00+00:00,104.720001,false
dxy,DX-Y.NYB,1d,2024-02-14T22:00:00+00:00,2024-02-15T22:00:00+00:00,104.300003,false
dxy,DX-Y.NYB,1d,2024-02-15T22:00:00+00:00,2024-02-16T22:00:00+00:00,104.279999,false
dxy,DX-Y.NYB,1d,2024-02-19T22:00:00+00:00,2024-02-20T22:00:00+00:00,104.080002,true
dxy,DX-Y.NYB,1d,2024-02-20T22:00:00+00:00,2024-02-21T22:00:00+00:00,104.010002,false
dxy,DX-Y.NYB,1d,2024-02-21T22:00:00+00:00,2024-02-22T22:00:00+00:00,103.959999,false
dxy,DX-Y.NYB,1d,2024-02-22T22:00:00+00:00,2024-02-23T22:00:00+00:00,103.940002,false
dxy,DX-Y.NYB,1d,2024-02-25T22:00:00+00:00,2024-02-26T22:00:00+00:00,103.830002,true
dxy,DX-Y.NYB,1d,2024-02-26T22:00:00+00:00,2024-02-27T22:00:00+00:00,103.830002,false
dxy,DX-Y.NYB,1d,2024-02-27T22:00:00+00:00,2024-02-28T22:00:00+00:00,103.980003,false
dxy,DX-Y.NYB,1d,2024-02-28T22:00:00+00:00,2024-02-29T22:00:00+00:00,104.160004,false
