proxy,source_ticker,granularity,bar_open_utc,close_ts_utc,close,is_weekend_gap_after
us10y,^TNX,1d,2024-01-01T22:00:00+00:00,2024-01-02T22:00:00+00:00,3.946000,false
us10y,^TNX,1d,2024-01-02T22:00:00+00:00,2024-01-03T22:00:00+00:00,3.907000,false
us10y,^TNX,1d,2024-01-03T22:00:00+00:00,2024-01-04T22:00:00+00:00,3.991000,false
us10y,^TNX,1d,2024-01-04T22:00:00+00:00,2024-01-05T22:00:00+00:00,4.042000,false
us10y,^TNX,1d,2024-01-07T22:00:00+00:00,2024-01-08T22:00:00+00:00,4.002000,true
us10y,^TNX,1d,2024-01-08T22:00:00+00:00,2024-01-09T22:00:00+00:00,4.019000,false
us10y,^TNX,1d,2024-01-09T22:00:00+00:00,2024-01-10T22:00:00+00:00,4.030000,false
us10y,^TNX,1d,2024-01-10T22:00:00+00:00,2024-01-11T22:00:00+00:00,3.977000,false
us10y,^TNX,1d,2024-01-11T22:00:00+00:00,2024-01-12T22:00:00+00:00,3.950000,false
us10y,^TNX,1d,2024-01-15T22:00:00+00:00,2024-01-16T22:00:00+00:00,4.066000,true
us10y,^TNX,1d,2024-01-16T22:00:00+00:00,2024-01-17T22:00:00+00:00,4.106000,false
us10y,^TNX,1d,2024-01-17T22:00:00+00:00,2024-01-18T22:00:00+00:00,4.144000,false
us10y,^TNX,1d,2024-01-18T22:00:00+00:00,2024-01-19T22:00:00+00:00,4.146000,false
us10y,^TNX,1d,2024-01-21T22:00:00+00:00,2024-01-22T22:00:00+00:00,4.094000,true
us10y,^TNX,1d,2024-01-22T22:00:00+00:00,2024-01-23T22:00:00+00:00,4.142000,false
us10y,^TNX,1d,2024-01-23T22:00:00+00:00,2024-01-24T22:00:00+00:00,4.178000,false
us10y,^TNX,1d,2024-01-24T22:00:00+00:00,2024-01-25T22:00:00+00:00,4.132000,false
us10y,^TNX,1d,2024-01-25T22:00:00+00:00,2024-01-26T22:00:00+00:00,4.160000,false
us10y,^TNX,1d,2024-01-28T22:00:00+00:00,2024-01-29T22:00:00+00:00,4.091000,true
us10y,^TNX,1d,2024-01-29T22:00:00+00:00,2024-01-30T22:00:00+00:00,4.059000,false
