id,window,pf,wr,dd,n,np,hard_pass
baseline_vol_gate_sparse,year_2023,1.384005,70.27027,2.176238,37,402.063283,False
baseline_vol_gate_sparse,year_2024,1.341576,65.384615,4.387076,26,285.190358,False
baseline_vol_gate_sparse,year_2025,1.185177,70.588235,5.460121,34,167.145098,False
baseline_vol_gate_sparse,year_2026_to_peek,2.072794,80.0,1.438447,20,398.091199,True
baseline_vol_gate_sparse,develop_like,0.969555,62.878788,11.477239,132,-133.402271,False
baseline_vol_gate_sparse,full_available,1.058052,65.384615,11.477239,156,281.410566,False
baseline_vol_gate_sparse,h2_2024,1.636815,72.727273,1.988311,11,187.685191,False
baseline_vol_gate_sparse,h1_2025,0.750746,63.157895,5.460121,19,-158.2321,False
baseline_vol_gate_sparse,h2_2025,2.335973,80.0,1.425129,15,357.777198,False
baseline_donchian_turtle,year_2023,1.360215,30.208333,21.028005,96,2316.08154,False
baseline_donchian_turtle,year_2024,1.316964,35.514019,12.51816,107,1888.214852,False
baseline_donchian_turtle,year_2025,2.121785,41.0,9.158198,100,8968.152845,False
baseline_donchian_turtle,year_2026_to_peek,1.607963,39.583333,8.577013,48,1498.273154,False
baseline_donchian_turtle,develop_like,1.486277,32.251082,29.547155,462,15022.70546,False
baseline_donchian_turtle,full_available,1.540959,33.009709,29.547155,515,20799.062265,False
baseline_donchian_turtle,h2_2024,1.614023,41.666667,7.519623,48,1571.575322,False
baseline_donchian_turtle,h1_2025,2.287901,43.75,7.873499,48,4107.242103,False
baseline_donchian_turtle,h2_2025,2.007094,37.5,8.989057,48,3097.284434,False
baseline_atr_trail_breakout,year_2023,0.687962,43.75,8.667185,16,-397.887672,False
baseline_atr_trail_breakout,year_2024,0.970278,35.714286,10.622572,28,-67.156363,False
baseline_atr_trail_breakout,year_2025,2.471563,51.724138,9.200755,29,3607.286845,False
baseline_atr_trail_breakout,year_2026_to_peek,5.102542,75.0,2.785551,4,570.466816,False
baseline_atr_trail_breakout,develop_like,1.455038,43.298969,16.077073,97,3348.073654,False
baseline_atr_trail_breakout,full_available,1.584537,45.098039,16.077073,102,4422.823879,False
baseline_atr_trail_breakout,h2_2024,1.073152,42.857143,7.515065,14,94.379169,False
baseline_atr_trail_breakout,h1_2025,1.52583,46.666667,9.200755,15,667.351006,False
baseline_atr_trail_breakout,h2_2025,3.611741,57.142857,5.172338,14,2801.122932,False
baseline_htf_fib_xau,year_2023,1.379055,37.5,3.069998,16,386.540735,False
baseline_htf_fib_xau,year_2024,1.053541,30.769231,5.267917,13,47.557584,False
baseline_htf_fib_xau,year_2025,5.608517,70.0,3.647755,10,1349.149079,False
baseline_htf_fib_xau,year_2026_to_peek,2.371352,50.0,2.224091,14,914.861216,False
baseline_htf_fib_xau,develop_like,1.474932,37.878788,6.28303,66,1965.77874,False
baseline_htf_fib_xau,full_available,1.60965,40.0,6.28303,80,3024.038846,False
baseline_htf_fib_xau,h2_2024,1.794657,42.857143,2.87935,7,319.582843,False
baseline_htf_fib_xau,h1_2025,10.205013,80.0,2.067561,5,845.566954,False
baseline_htf_fib_xau,h2_2025,3.181546,60.0,3.950087,5,438.254747,False
baseline_htf_pullback_new,year_2023,0.974749,45.454545,10.187765,110,-141.245926,False
baseline_htf_pullback_new,year_2024,1.256799,51.265823,7.765506,158,2127.766407,False
baseline_htf_pullback_new,year_2025,1.29537,51.445087,8.295402,173,2470.534585,False
baseline_htf_pullback_new,year_2026_to_peek,0.792857,38.709677,7.66691,31,-298.90154,False
baseline_htf_pullback_new,develop_like,1.239836,50.510204,10.370438,588,8791.145612,False
baseline_htf_pullback_new,full_available,1.232442,50.47619,10.370438,630,9406.719103,False
baseline_htf_pullback_new,h2_2024,1.337968,53.246753,7.854535,77,1309.5635,False
baseline_htf_pullback_new,h1_2025,1.157488,48.93617,6.590457,94,747.195201,False
baseline_htf_pullback_new,h2_2025,1.553936,55.405405,3.677515,74,1668.978514,True
refined_donchian_exit_N8_gate_pass,year_2023,1.338505,31.372549,22.649632,102,2129.177874,False
refined_donchian_exit_N8_gate_pass,year_2024,1.506736,37.962963,11.840597,108,3037.015436,False
refined_donchian_exit_N8_gate_pass,year_2025,2.173061,40.384615,7.753267,104,9464.684208,False
refined_donchian_exit_N8_gate_pass,year_2026_to_peek,1.418172,37.735849,8.077424,53,1022.002458,False
refined_donchian_exit_N8_gate_pass,develop_like,1.518998,33.40249,32.774502,482,15016.643266,False
refined_donchian_exit_N8_gate_pass,full_available,1.53164,34.074074,32.774502,540,19429.443403,False
refined_donchian_exit_N8_gate_pass,h2_2024,1.874623,45.833333,7.519623,48,2040.488338,False
refined_donchian_exit_N8_gate_pass,h1_2025,2.146237,39.215686,7.507383,51,4004.059561,False
refined_donchian_exit_N8_gate_pass,h2_2025,2.204216,40.816327,7.733229,49,3528.066585,False
refined_atr_pack_entry20_no_atr_floor,year_2023,0.87516,35.555556,24.233889,45,-480.604801,False
refined_atr_pack_entry20_no_atr_floor,year_2024,1.400549,41.935484,18.277557,62,2157.248536,False
refined_atr_pack_entry20_no_atr_floor,year_2025,2.43526,50.746269,10.39958,67,9815.680525,False
refined_atr_pack_entry20_no_atr_floor,year_2026_to_peek,1.205931,41.176471,14.216093,17,344.206607,False
refined_atr_pack_entry20_no_atr_floor,develop_like,1.585244,44.067797,29.761671,236,13580.038484,False
refined_atr_pack_entry20_no_atr_floor,full_available,1.590108,44.140625,29.761671,256,16404.530492,False
refined_atr_pack_entry20_no_atr_floor,h2_2024,2.513359,50.0,6.703391,26,3217.409054,False
refined_atr_pack_entry20_no_atr_floor,h1_2025,1.900243,47.222222,9.573963,36,3126.341873,False
