time,timeframe,symbol,open,high,low,close,tick_volume,spread
2018-04-02 01:00:00,H1,XAGUSD,16.331,16.373,16.309,16.373,263,
2018-04-02 02:00:00,H1,XAGUSD,16.373,16.41,16.373,16.387,278,
2018-04-02 03:00:00,H1,XAGUSD,16.388,16.418,16.376,16.418,599,
2018-04-02 04:00:00,H1,XAGUSD,16.418,16.446,16.416,16.43,343,
2018-04-02 05:00:00,H1,XAGUSD,16.43,16.435,16.413,16.424,126,
2018-04-02 06:00:00,H1,XAGUSD,16.425,16.428,16.411,16.421,91,
2018-04-02 07:00:00,H1,XAGUSD,16.416,16.422,16.41,16.414,43,
2018-04-02 08:00:00,H1,XAGUSD,16.415,16.415,16.389,16.404,83,
2018-04-02 09:00:00,H1,XAGUSD,16.401,16.427,16.392,16.424,299,
2018-04-02 10:00:00,H1,XAGUSD,16.424,16.459,16.413,16.456,285,
2018-04-02 11:00:00,H1,XAGUSD,16.455,16.466,16.45,16.455,231,
2018-04-02 12:00:00,H1,XAGUSD,16.458,16.46,16.449,16.458,88,
2018-04-02 13:00:00,H1,XAGUSD,16.453,16.463,16.448,16.463,75,
2018-04-02 14:00:00,H1,XAGUSD,16.468,16.538,16.468,16.517,234,
2018-04-02 15:00:00,H1,XAGUSD,16.521,16.632,16.515,16.601,1159,
2018-04-02 16:00:00,H1,XAGUSD,16.601,16.606,16.523,16.545,1210,
2018-04-02 17:00:00,H1,XAGUSD,16.548,16.645,16.518,16.618,1504,
2018-04-02 18:00:00,H1,XAGUSD,16.618,16.63,16.544,16.579,1268,
2018-04-02 19:00:00,H1,XAGUSD,16.584,16.595,16.557,16.588,859,
2018-04-02 20:00:00,H1,XAGUSD,16.588,16.665,16.582,16.634,1334,
2018-04-02 21:00:00,H1,XAGUSD,16.634,16.64,16.61,16.626,577,
2018-04-02 22:00:00,H1,XAGUSD,16.623,16.626,16.585,16.6,594,
2018-04-02 23:00:00,H1,XAGUSD,16.6,16.6,16.575,16.58,135,
