time,timeframe,symbol,open,high,low,close,tick_volume,spread
2021-09-03 19:00:00+00:00,H1,XAUUSD,1829.33,1830.4,1828.07,1830.05,4260,11
2021-09-03 20:00:00+00:00,H1,XAUUSD,1830.02,1832.76,1829.56,1831.15,3559,11
2021-09-03 21:00:00+00:00,H1,XAUUSD,1831.15,1831.38,1829.8,1830.39,2578,11
2021-09-03 22:00:00+00:00,H1,XAUUSD,1830.39,1830.57,1828.22,1828.55,2044,11
2021-09-03 23:00:00+00:00,H1,XAUUSD,1828.55,1828.92,1827.2,1827.45,1113,11
2021-09-06 01:00:00+00:00,H1,XAUUSD,1828.21,1830.23,1827.52,1828.53,2353,11
2021-09-06 02:00:00+00:00,H1,XAUUSD,1828.57,1828.65,1827.46,1827.56,1352,11
2021-09-06 03:00:00+00:00,H1,XAUUSD,1827.55,1827.84,1825.46,1825.67,2557,11
2021-09-06 04:00:00+00:00,H1,XAUUSD,1825.65,1828.51,1825.12,1827.37,7485,11
2021-09-06 05:00:00+00:00,H1,XAUUSD,1827.41,1828.09,1826.48,1827.53,3789,11
2021-09-06 06:00:00+00:00,H1,XAUUSD,1827.47,1827.88,1825.52,1825.84,2692,11
2021-09-06 07:00:00+00:00,H1,XAUUSD,1825.83,1826.93,1825.47,1826.39,1548,11
2021-09-06 08:00:00+00:00,H1,XAUUSD,1826.4,1827.9,1825.44,1827.54,3309,11
2021-09-06 09:00:00+00:00,H1,XAUUSD,1827.5,1828.28,1826.29,1826.48,3974,11
2021-09-06 10:00:00+00:00,H1,XAUUSD,1826.48,1827.06,1825.46,1825.98,3381,11
2021-09-06 11:00:00+00:00,H1,XAUUSD,1825.96,1826.95,1823.73,1824.86,3165,11
2021-09-06 12:00:00+00:00,H1,XAUUSD,1824.88,1825.58,1823.54,1824.61,2275,11
2021-09-06 13:00:00+00:00,H1,XAUUSD,1824.61,1824.79,1822.71,1823.87,1678,11
2021-09-06 14:00:00+00:00,H1,XAUUSD,1823.87,1824.83,1822.88,1823.86,1791,11
2021-09-06 15:00:00+00:00,H1,XAUUSD,1823.86,1823.91,1822.29,1822.53,2354,11
2021-09-06 16:00:00+00:00,H1,XAUUSD,1822.53,1824.17,1821.56,1823.32,4299,13
2021-09-06 17:00:00+00:00,H1,XAUUSD,1823.33,1823.42,1821.34,1821.73,2847,11
2021-09-06 18:00:00+00:00,H1,XAUUSD,1821.73,1823.09,1821.36,1821.94,1963,11
2021-09-06 19:00:00+00:00,H1,XAUUSD,1821.87,1823.45,1821.84,1823.15,1488,12
2021-09-07 01:00:00+00:00,H1,XAUUSD,1823.17,1824.06,1821.83,1822.53,966,11
2021-09-07 02:00:00+00:00,H1,XAUUSD,1822.55,1824.15,1822.52,1823.48,1087,13
2021-09-07 03:00:00+00:00,H1,XAUUSD,1823.48,1826.2,1823.22,1825.93,3514,11
2021-09-07 04:00:00+00:00,H1,XAUUSD,1825.96,1827.21,1825.43,1826.43,5006,11
2021-09-07 05:00:00+00:00,H1,XAUUSD,1826.42,1827.14,1825.0,1825.99,2603,11
2021-09-07 06:00:00+00:00,H1,XAUUSD,1826.03,1826.09,1822.56,1823.1,2523,13
2021-09-07 07:00:00+00:00,H1,XAUUSD,1823.1,1823.27,1821.1,1821.43,2585,11
2021-09-07 08:00:00+00:00,H1,XAUUSD,1821.43,1821.77,1816.91,1818.27,4965,11
2021-09-07 09:00:00+00:00,H1,XAUUSD,1818.25,1818.85,1815.59,1818.65,6791,11
2021-09-07 10:00:00+00:00,H1,XAUUSD,1818.55,1820.54,1817.38,1817.62,5424,11
2021-09-07 11:00:00+00:00,H1,XAUUSD,1817.62,1817.68,1813.05,1814.74,5752,11
2021-09-07 12:00:00+00:00,H1,XAUUSD,1814.73,1814.84,1808.88,1810.4,6422,11
2021-09-07 13:00:00+00:00,H1,XAUUSD,1810.4,1812.14,1809.57,1810.4,5977,11
2021-09-07 14:00:00+00:00,H1,XAUUSD,1810.4,1811.23,1808.25,1810.9,5521,11
2021-09-07 15:00:00+00:00,H1,XAUUSD,1810.87,1813.14,1808.36,1808.75,9834,11
2021-09-07 16:00:00+00:00,H1,XAUUSD,1808.74,1815.03,1808.4,1809.7,12883,11
2021-09-07 17:00:00+00:00,H1,XAUUSD,1809.74,1809.95,1793.14,1796.73,16602,11
2021-09-07 18:00:00+00:00,H1,XAUUSD,1796.71,1798.42,1792.3,1797.28,11006,11
2021-09-07 19:00:00+00:00,H1,XAUUSD,1797.3,1798.79,1794.17,1795.81,6096,11
